   -3.261727    96.831538    0.0461    0.0908   -0.0447
   -3.311709    96.849433    0.0943    0.1099   -0.0156
   -3.361691    96.867331    0.1949    0.1153    0.0796
   -3.411672    96.885232    0.1305    0.1132    0.0173
   -3.461652    96.903134   -0.0116    0.0973   -0.1089
   -3.511632    96.921039    0.0550    0.0567   -0.0017
   -3.561611    96.938946    0.0246    0.0032    0.0214
   -3.611590    96.956856   -0.0428   -0.0330   -0.0098
   -3.661568    96.974768   -0.0461   -0.0377   -0.0084
   -3.711545    96.992682   -0.0124   -0.0288    0.0164
   -3.761522    97.010599   -0.0473   -0.0318   -0.0155
   -3.811498    97.028519   -0.0029   -0.0404    0.0375
   -3.861474    97.046441    0.0353   -0.0266    0.0619
   -3.911449    97.064365   -0.0027    0.0125   -0.0152
   -3.961423    97.082292    0.0779    0.0991   -0.0212
   -4.111341    97.136090    0.3821    0.1534    0.2287
   -4.161313    97.154028   -0.0739    0.1319   -0.2058
   -4.211284    97.171969    0.0290    0.0405   -0.0115
   -4.411159    97.243760   -0.0195   -0.0439    0.0244
   -4.461127    97.261716    0.0230   -0.0231    0.0461
   -4.511093    97.279674   -0.1159   -0.0340   -0.0819
   -4.561059    97.297635    0.0444   -0.0212    0.0656
   -4.611023    97.315599   -0.0450   -0.0256   -0.0194
   -4.660987    97.333567   -0.1278   -0.0472   -0.0806
   -4.710951    97.351537    0.0139   -0.0541    0.0680
   -4.810875    97.387488   -0.1573   -0.0162   -0.1411
   -4.860836    97.405468    0.1234    0.0056    0.1178
   -4.910796    97.423451   -0.0554    0.0077   -0.0631
   -4.960755    97.441438    0.0182    0.0070    0.0112
   -5.010713    97.459428   -0.1230    0.0179   -0.1409
   -5.060671    97.477421    0.1196    0.0238    0.0958
   -5.110627    97.495418   -0.0056    0.0089   -0.0145
   -5.160583    97.513418   -0.0045   -0.0066    0.0021
   -5.210538    97.531422    0.0218   -0.0098    0.0316
   -5.360398    97.585454   -0.1286   -0.1008   -0.0278
   -5.410349    97.603472   -0.1812   -0.1614   -0.0198
   -5.460299    97.621493   -0.1732   -0.1868    0.0136
   -5.510249    97.639518   -0.2340   -0.1831   -0.0509
   -5.560197    97.657547   -0.0402   -0.1701    0.1299
   -5.610145    97.675580   -0.2669   -0.1617   -0.1052
   -5.660092    97.693616   -0.1225   -0.1226    0.0001
   -5.859869    97.765800   -0.0864   -0.0718   -0.0146
   -5.909810    97.783856   -0.0514   -0.0533    0.0019
   -5.959751    97.801916   -0.0329   -0.0210   -0.0119
   -6.009691    97.819980    0.0259    0.0074    0.0185
   -6.059630    97.838048    0.0360    0.0200    0.0160
   -6.109567    97.856120    0.0666    0.0256    0.0410
   -6.159504    97.874196   -0.0282    0.0319   -0.0601
   -6.209440    97.892276    0.1010    0.0372    0.0638
   -6.259374    97.910360    0.0637    0.0441    0.0196
   -6.309308    97.928449    0.0217    0.0530   -0.0313
